Time_PST,Month,Correction
14400,1,0.2122424138629322
14400,2,0.2982179818107147
14400,3,0.15178910405462442
14400,4,0.8055494063595665
14400,5,0.6649845412198054
14400,6,0.8803037178541531
14400,7,0.7876156465733519
14400,8,0.8617534830457556
14400,9,0.7458180135185888
14400,10,0.6687097045410593
14400,11,0.5461831203302296
14400,12,-0.2904066505987659
14410,1,0.2122424138629322
14410,2,0.2982179818107147
14410,3,0.15178910405462442
14410,4,0.8055494063595665
14410,5,0.6649845412198054
14410,6,0.8803037178541531
14410,7,0.7876156465733519
14410,8,0.8617534830457556
14410,9,0.7458180135185888
14410,10,0.6687097045410593
14410,11,0.5461831203302296
14410,12,-0.2904066505987659
14420,1,0.2122424138629322
14420,2,0.2982179818107147
14420,3,0.15178910405462442
14420,4,0.8055494063595665
14420,5,0.6649845412198054
14420,6,0.8803037178541531
14420,7,0.7876156465733519
14420,8,0.8617534830457556
14420,9,0.7458180135185888
14420,10,0.6687097045410593
14420,11,0.5461831203302296
14420,12,-0.2904066505987659
14430,1,0.21287868782699793
14430,2,0.298285631644573
14430,3,0.15384368745350807
14430,4,0.8053837039329779
14430,5,0.6652300311710417
14430,6,0.8807604090970584
14430,7,0.7877070734076943
14430,8,0.8614672182484977
14430,9,0.7464633426250789
14430,10,0.6689793467916512
14430,11,0.5459162498738299
14430,12,-0.2872008935077881
14440,1,0.21287868782699793
14440,2,0.298285631644573
14440,3,0.15384368745350807
14440,4,0.8053837039329779
14440,5,0.6652300311710417
14440,6,0.8807604090970584
14440,7,0.7877070734076943
14440,8,0.8614672182484977
14440,9,0.7464633426250789
14440,10,0.6689793467916512
14440,11,0.5459162498738299
14440,12,-0.2872008935077881
14450,1,0.21287868782699793
14450,2,0.298285631644573
14450,3,0.15384368745350807
14450,4,0.8053837039329779
14450,5,0.6652300311710417
14450,6,0.8807604090970584
14450,7,0.7877070734076943
14450,8,0.8614672182484977
14450,9,0.7464633426250789
14450,10,0.6689793467916512
14450,11,0.5459162498738299
14450,12,-0.2872008935077881
14460,1,0.21287868782699793
14460,2,0.298285631644573
14460,3,0.15384368745350807
14460,4,0.8053837039329779
14460,5,0.6652300311710417
14460,6,0.8807604090970584
14460,7,0.7877070734076943
14460,8,0.8614672182484977
14460,9,0.7464633426250789
14460,10,0.6689793467916512
14460,11,0.5459162498738299
14460,12,-0.2872008935077881
14470,1,0.21287868782699793
14470,2,0.298285631644573
14470,3,0.15384368745350807
14470,4,0.8053837039329779
14470,5,0.6652300311710417
14470,6,0.8807604090970584
14470,7,0.7877070734076943
14470,8,0.8614672182484977
14470,9,0.7464633426250789
14470,10,0.6689793467916512
14470,11,0.5459162498738299
14470,12,-0.2872008935077881
14480,1,0.21287868782699793
14480,2,0.298285631644573
14480,3,0.15384368745350807
14480,4,0.8053837039329779
14480,5,0.6652300311710417
14480,6,0.8807604090970584
14480,7,0.7877070734076943
14480,8,0.8614672182484977
14480,9,0.7464633426250789
14480,10,0.6689793467916512
14480,11,0.5459162498738299
14480,12,-0.2872008935077881
14490,1,0.21351491690902424
14490,2,0.2983532562388884
14490,3,0.15589817819217755
14490,4,0.8052179335493141
14490,5,0.6654754518198001
14490,6,0.8812169989259182
14490,7,0.7877984218542062
14490,8,0.8611808853011613
14490,9,0.7471085754681379
14490,10,0.6692489128209709
14490,11,0.5456493380809879
14490,12,-0.2839952381688464
14500,1,0.21351491690902424
14500,2,0.2983532562388884
14500,3,0.15589817819217755
14500,4,0.8052179335493141
14500,5,0.6654754518198001
14500,6,0.8812169989259182
14500,7,0.7877984218542062
14500,8,0.8611808853011613
14500,9,0.7471085754681379
14500,10,0.6692489128209709
14500,11,0.5456493380809879
14500,12,-0.2839952381688464
14510,1,0.21351491690902424
14510,2,0.2983532562388884
14510,3,0.15589817819217755
14510,4,0.8052179335493141
14510,5,0.6654754518198001
14510,6,0.8812169989259182
14510,7,0.7877984218542062
14510,8,0.8611808853011613
14510,9,0.7471085754681379
14510,10,0.6692489128209709
14510,11,0.5456493380809879
14510,12,-0.2839952381688464
14520,1,0.21351491690902424
14520,2,0.2983532562388884
14520,3,0.15589817819217755
14520,4,0.8052179335493141
14520,5,0.6654754518198001
14520,6,0.8812169989259182
14520,7,0.7877984218542062
14520,8,0.8611808853011613
14520,9,0.7471085754681379
14520,10,0.6692489128209709
14520,11,0.5456493380809879
14520,12,-0.2839952381688464
14530,1,0.21351491690902424
14530,2,0.2983532562388884
14530,3,0.15589817819217755
14530,4,0.8052179335493141
14530,5,0.6654754518198001
14530,6,0.8812169989259182
14530,7,0.7877984218542062
14530,8,0.8611808853011613
14530,9,0.7471085754681379
14530,10,0.6692489128209709
14530,11,0.5456493380809879
14530,12,-0.2839952381688464
14540,1,0.21351491690902424
14540,2,0.2983532562388884
14540,3,0.15589817819217755
14540,4,0.8052179335493141
14540,5,0.6654754518198001
14540,6,0.8812169989259182
14540,7,0.7877984218542062
