"Month","Region","STN_fish_catch_per_tow_AmericanShad","STN_fish_catch_per_tow_PacificHerring","STN_fish_catch_per_tow_ThreadfinShad","STN_fish_catch_per_tow_NorthernAnchovy","STN_fish_catch_per_tow_DeltaSmelt","STN_fish_catch_per_tow_StripedBass_age0","STN_fish_catch_per_tow_LongfinSmelt","STN_fish_biomass_Estuarine_pelagic_forage_fishes","STN_fish_catch_per_tow_Marine_pelagic_forage_fishes","STN_fish_biomass_AmericanShad","STN_fish_biomass_PacificHerring","STN_fish_biomass_ThreadfinShad","STN_fish_biomass_NorthernAnchovy","STN_fish_biomass_DeltaSmelt","STN_fish_biomass_StripedBass_age0","STN_fish_biomass_LongfinSmelt","STN_fish_biomass_Marine_pelagic_forage_fishes"
6,"Far West",0.00709219858156028,0.0352112676056338,0,2.09200438116101,0.0247349823321555,0.315942028985507,0.389684813753582,23.2382336692592,3.7593415075505,NA,NA,NA,NA,NA,NA,NA,NA
6,"North",0.122866894197952,0.00473372781065089,0.0736478711162255,0,2.98866855524079,6.16610169491525,0.577464788732394,23.2382336692592,3.7593415075505,NA,NA,NA,NA,NA,NA,NA,NA
6,"South",0.107533414337789,0,0.627756858526089,0,0.825495750708215,3.33972896820072,0.0252365930599369,23.2382336692592,3.7593415075505,NA,NA,NA,NA,NA,NA,NA,NA
6,"West",0.157413676371022,0.191048764195057,0.0089349535382416,1.43634336677815,0.782470119521912,5.12966671434702,1.56779279279279,23.2382336692592,3.7593415075505,NA,NA,NA,NA,NA,NA,NA,NA
7,"Far West",0.0130111524163569,0.162162162162162,0.00557620817843866,2.68613537117904,0.201320132013201,0.479663394109397,0.77410071942446,25.0623148272661,4.59624403002144,NA,NA,NA,NA,NA,NA,NA,NA
7,"North",0.550955414012739,0.00224047796863331,0.0706997084548105,0.00744047619047619,7.22588522588523,4.83338948787062,0.130935251798561,25.0623148272661,4.59624403002144,NA,NA,NA,NA,NA,NA,NA,NA
7,"South",0.439507860560492,0,0.195966514459665,0.021434460016488,0.697785977859779,2.18205342237062,0.00824742268041237,25.0623148272661,4.59624403002144,NA,NA,NA,NA,NA,NA,NA,NA
7,"West",0.368480909829407,0.0261273466227985,0.0392836510687464,1.69070373588184,1.37618510158014,4.44442163905586,1.02484563363717,25.0623148272661,4.59624403002144,NA,NA,NA,NA,NA,NA,NA,NA
8,"Far West",0.0211267605633803,0.0246478873239437,0,1.08925619834711,0.0452961672473868,0.19047619047619,0.342857142857143,12.4909849658613,1.95982097329077,NA,NA,NA,NA,NA,NA,NA,NA
8,"North",0.562770562770563,0,0.247496423462089,0.00950871632329636,2.77896995708155,2.03356367226061,0.0222222222222222,12.4909849658613,1.95982097329077,NA,NA,NA,NA,NA,NA,NA,NA
8,"South",0.37429264349232,0,0.376646180860404,0.00486854917234664,0.22483537158984,1.03812759531899,0,12.4909849658613,1.95982097329077,NA,NA,NA,NA,NA,NA,NA,NA
