Year,Chlorophyll,DIN,DissAmmonia,DissNitrateNitrite,DissOrthophos,Secchi,Temperature
1980,7.647625264594326,0.3282438507741459,0.05772297186433896,0.27052087890980697,0.1251185695041384,39.67958747483766,15.68280797803409
1981,5.8899892668960705,0.3618165655916804,0.07033763140447322,0.2914789341872072,0.10630447705617288,48.287752244389345,17.163409023052125
1982,8.23694229185309,0.3196556344590372,0.057478685780667525,0.2621769486783697,0.07013481608574731,40.11965399723685,15.87183409133959
1983,5.103923385763614,0.3123050547297204,0.05026471234675791,0.26204034238296253,0.04715966393335824,43.39684622888259,16.203728602276218
1984,7.806821866142059,0.2839595707272073,0.04979290406054063,0.23416666666666666,0.058255051893605615,51.56678259192642,16.518472222222222
1985,5.909954837675983,0.3496747549920306,0.07680555555555556,0.27286919943647503,0.09444698179101482,74.45138888888889,15.914305555555556
1986,6.930073027502321,0.34065382119825083,0.06546241504160093,0.2751914061566499,0.07210872333500967,44.708197283147356,16.117275827122363
1987,3.565378146300803,0.4463384615346466,0.08953290597909105,0.35680555555555554,0.12011808961857767,62.75723591843565,17.069652777777776
1988,2.9649848608868887,0.42730521630831336,0.07168021630831337,0.355625,0.1282393414093791,53.53168510951611,16.898488163356486
1989,2.716242821140155,0.375464473054126,0.07504780638745935,0.30041666666666667,0.11536512370396997,56.894305177634926,16.483194444444443
1990,1.6897166249905795,0.49155283499433683,0.08953894610544795,0.4020138888888889,0.14927302344182297,67.34144442744217,16.70201388888889
1991,2.0005312860837527,0.5993197596836984,0.10612531523925395,0.49319444444444444,0.14635733028211534,63.125,16.14409722222222
1992,2.511044888247596,0.5533817403933858,0.07996342379568676,0.47341831659769906,0.15659623505852216,64.61111111111111,17.79625
1993,3.960446504972923,0.4484535427067128,0.07842598671324873,0.37002755599346404,0.06661343117324843,57.25,16.86895833333333
1994,1.3433036983908573,0.5473084284766319,0.10210009514329857,0.4452083333333333,0.09043498585767379,70.875,16.026458333333334
1995,1.6193025689096372,0.3540502674726965,0.0601644515850799,0.29388581588761664,0.05643560963033437,46.121204189697174,16.388652284628012
1996,1.322406878521023,0.4052522697379259,0.08078803438251746,0.3244642353554084,0.0578203769809987,52.238471363633344,16.79293084944574
1997,1.3735122573955314,0.4713418953962588,0.083453662857149,0.3878882325391098,0.06618174200048735,52.50075202978165,17.560116147750893
1998,2.6297273443776557,0.4181604051410677,0.059018450972339265,0.35914195416872846,0.05515061873123575,42.535338383681214,16.306607057058358
1999,2.199105397171203,0.43542177359726975,0.08333057144022502,0.35209120215704476,0.054525110836848266,51.07462410983443,15.143482263724522
2000,3.417777777777778,0.43944444444444447,0.08680555555555555,0.3526388888888889,0.06444444444444444,51.935444719540705,16.522511244383548
2001,2.1325,0.5779166666666666,0.10652777777777778,0.4713888888888889,0.07486111111111111,52.28333333333334,16.62698694408197
2002,2.3040287055917066,0.5085111231734679,0.09407291624433231,0.4144382069291356,0.06879673613809142,53.14167087427408,16.595012424503157
2003,2.0475,0.39652777777777776,0.08138888888888889,0.3151388888888889,0.057222222222222216,66.40144562549405,16.671388888888888
2004,1.735790436078724,0.4608333333333333,0.0923611111111111,0.3684722222222222,0.06555555555555556,58.52777777777778,16.76875
2005,1.7226388888888888,0.47347222222222224,0.08902777777777778,0.3844444444444444,0.06152777777777778,72.05555555555556,16.69388888888889
2006,1.9879166666666668,0.3516666666666667,0.06305555555555556,0.2886111111111111,0.04708333333333333,62.75,16.844444444444445
2007,1.6356944444444443,0.5672222222222222,0.09875,0.46847222222222223,0.058472222222222224,75.45833333333334,16.295416666666668
2008,2.18875,0.6270833333333333,0.09125,0.5358333333333334,0.07138888888888889,66.27777777777779,16.905
2009,1.6566666666666667,0.485,0.09333333333333334,0.39166666666666666,0.06736111111111111,81.27777777777779,16.593888888888888
2010,2.1484722222222223,0.4255555555555556,0.07916666666666666,0.3463888888888889,0.05486111111111111,87.02777777777779,16.124444444444443
2011,2.4118055555555555,0.3104166666666667,0.06888888888888889,0.24152777777777779,0.043055555555555555,91.58333333333333,15.80875
2012,2.3722149479644714,0.45208333333333334,0.08847222222222223,0.3636111111111111,0.056388888888888884,89.19444444444444,16.881944444444446
2013,2.808333333333333,0.4822222222222222,0.08875,0.3934722222222222,0.06999999999999999,80.72222222222223,16.446944444444444
2014,2.2227777777777775,0.6165277777777778,0.09402777777777778,0.5225,0.08555555555555555,94.69444444444444,17.550694444444446
2015,3.128888888888889,0.53625,0.07888888888888888,0.4573611111111111,0.08097222222222222,70.39079911981902,17.769583333333333
2016,4.820694444444444,0.46875,0.09291666666666666,0.37583333333333335,0.06624999999999999,79.66666666666667,16.830000000000002
2017,2.969167948833936,0.6408333333333334,0.07708333333333334,0.5637500000000001,0.06805555555555555,80.94444444444444,16.43375
2018,2.3173490783065716,0.485375,0.09536111111111112,0.3900138888888889,0.07779166666666666,99.2638888888889,16.293333333333333
2019,1.612897313578274,0.8165298601150064,0.10256944444444445,0.7139604156705619,0.19999772253012538,82.44444444444444,16.429444444444446
2020,2.0508811480713613,0.4204236184806156,0.09827762957596514,0.3221459889046504,0.07662946851326081,97.67139705519321,17.380297819175276
