"Variable","Months_missing","Years_missing","Definition"
"Ammonia","1995‒2020 (0)","1980‒2020 (0)","from the Discrete Environmental Monitoring Program (EMP) at DWR - year-round"
"Amphipods catch","1997‒2020 (18)","1975‒2020 (1)","from 5 different sources - year-round - see Bashevkin et al. 2022"
"Amphipods mass","1997‒2020 (18)","1975‒2020 (1)","from 5 different sources - year-round - see Bashevkin et al. 2022"
"Centrarchids DJFMP","1995‒2020 (3)",NA,"year-round - beach seines - biomass"
"Cladocera","1995‒2020 (2)","1975‒2020 (0)","from 5 different sources - year-round - see Bashevkin et al. 2022"
"Cladocera catch","1995‒2020 (2)","1975‒2020 (0)","from 5 different sources - year-round - see Bashevkin et al. 2022"
"Cladocera energy","1995‒2020 (2)","1975‒2020 (0)","from 5 different sources - year-round - see Bashevkin et al. 2022"
"Corbicula","1997‒2020 (18)","1975‒2020 (1)","from the Environmental Monitoring Program (EMP) Benthic Survey at DWR - year-round"
"Delta smelt BSMT","1995‒2020 (38)","1980‒2020 (1)","year-round - midwater trawl - biomass"
"Delta smelt BSOT","1995‒2020 (18)","1980‒2020 (0)","year-round - otter trawl - biomass"
"Delta smelt FMWT",NA,"1975‒2020 (1)","fall (September - December) - midwater trawl - biomass"
"Delta smelt STN",NA,"1975‒2021 (0)","summer (June - August) - townet - biomass"
"Dissolved Inorganic Nitrogen","1995‒2020 (0)",NA,"from the Discrete Environmental Monitoring Program (EMP) at DWR - year-round"
"Dissolved Orthophos","1995‒2020 (0)","1980‒2020 (0)","from the Discrete Environmental Monitoring Program (EMP) at DWR - year-round"
"Estuarine fishes BSMT","1995‒2020 (38)","1980‒2020 (1)","year-round - midwater trawl - biomass of estuarine pelagic forage fishes"
"Estuarine fishes BSOT","1995‒2020 (18)","1980‒2020 (0)","year-round - otter trawl - biomass of estuarine pelagic forage fishes"
"Estuarine fishes FMWT",NA,"1975‒2020 (1)","fall (September - December) - midwater trawl - biomass of estuarine pelagic forage fishes"
"Estuarine fishes STN",NA,"1975‒2021 (0)","summer (June - August) - townet - biomass of estuarine pelagic forage fishes"
"Flow","1995‒2020 (0)","1975‒2020 (0)","year-round - mean Delta outflow (water leaving the Delta to the Bay)"
"Herbivorous copepods","1995‒2020 (2)","1975‒2020 (0)","from 5 different sources - year-round - see Bashevkin et al. 2022"
"Herbivorous copepods catch","1995‒2020 (2)","1975‒2020 (0)","from 5 different sources - year-round - see Bashevkin et al. 2022"
"Herbivorous copepods energy","1995‒2020 (2)","1975‒2020 (0)","from 5 different sources - year-round - see Bashevkin et al. 2022"
"Herbivorous zooplankton biomass","1995‒2020 (2)","1975‒2020 (0)","summed herbivorous zooplankton biomass"
"Herbivorous zooplankton energy","1995‒2020 (2)","1975‒2020 (0)","summed herbivorous zooplankton energy"
"Longfin smelt BSMT","1995‒2020 (38)","1980‒2020 (1)","year-round - midwater trawl - biomass"
"Longfin smelt BSOT","1995‒2020 (18)","1980‒2020 (0)","year-round - otter trawl - biomass"
"Longfin smelt FMWT",NA,"1975‒2020 (1)","fall (September - December) - midwater trawl - biomass"
"Longfin smelt STN",NA,"1975‒2021 (0)","summer (June - August) - townet - biomass"
"Marine fishes BSMT","1995‒2020 (38)","1980‒2020 (1)","year-round - midwater trawl - biomass"
"Marine fishes BSOT","1995‒2020 (18)","1980‒2020 (0)","year-round - otter trawl - biomass"
"Marine fishes FMWT",NA,"1975‒2020 (1)","fall (September - December) - midwater trawl - biomass"
"Marine fishes STN",NA,"1975‒2021 (0)","summer (June - August) - townet - biomass"
"Mississippi silverside DJFMP","1995‒2020 (3)","1976‒2020 (0)","year-round - beach seines - biomass"
"Mysids","1995‒2020 (2)","1975‒2020 (0)","from 5 different sources - year-round - see Bashevkin et al. 2022"
"Mysids catch","1995‒2020 (2)","1975‒2020 (0)","from 5 different sources - year-round - see Bashevkin et al. 2022"
"Mysids energy","1995‒2020 (2)","1975‒2020 (0)","from 5 different sources - year-round - see Bashevkin et al. 2022"
"Nitrate and Nitrite","1995‒2020 (0)","1980‒2020 (0)","from the Discrete Environmental Monitoring Program (EMP) at DWR - year-round"
"Phytoplankton","1995‒2020 (0)","1980‒2020 (0)","from the Discrete Environmental Monitoring Program (EMP) at DWR - year-round"
"Potamocorbula","1997‒2020 (18)","1975‒2020 (1)","from the Environmental Monitoring Program (EMP) Benthic Survey at DWR - year-round"
"Predatory copepods","1995‒2020 (2)","1975‒2020 (0)","from 5 different sources - year-round - see Bashevkin et al. 2022"
"Predatory copepods catch","1995‒2020 (2)","1975‒2020 (0)","from 5 different sources - year-round - see Bashevkin et al. 2022"
"Predatory copepods energy","1995‒2020 (2)","1975‒2020 (0)","from 5 different sources - year-round - see Bashevkin et al. 2022"
"Predatory zooplankton biomass","1995‒2020 (2)","1975‒2020 (0)","summed predatory zooplankton biomass"
"Predatory zooplankton energy","1995‒2020 (2)","1975‒2020 (0)","summed predatory zooplankton energy"
"Rotifers catch","1995‒2020 (2)","1975‒2020 (0)","from 5 different sources - year-round - see Bashevkin et al. 2022"
"Rotifers energy","1995‒2020 (2)","1975‒2020 (0)","from 5 different sources - year-round - see Bashevkin et al. 2022"
"Rotifers mass","1995‒2020 (2)","1975‒2020 (0)","from 5 different sources - year-round - see Bashevkin et al. 2022"
"Secchi","1995‒2020 (0)","1980‒2020 (0)","from the Discrete Environmental Monitoring Program (EMP) at DWR - year-round"
"Striped bass age 1+ BSMT","1995‒2020 (38)",NA,"year-round - midwater trawl - biomass of age 1+ individuals"
"Striped bass age 1+ BSOT","1995‒2020 (18)",NA,"year-round - otter trawl - biomass of age 1+ individuals"
"Striped bass BSMT","1995‒2020 (38)","1980‒2020 (1)","year-round - midwater trawl - biomass of age 0 individuals"
"Striped bass BSOT","1995‒2020 (18)","1980‒2020 (0)","year-round - otter trawl - biomass of age 0 individuals"
"Striped bass FMWT",NA,"1975‒2020 (1)","fall (September - December) - midwater trawl - biomass of age 0 individuals"
"Striped bass STN",NA,"1975‒2021 (0)","summer (June - August) - townet - biomass of age 0 individuals"
"Temperature","1995‒2020 (0)","1980‒2020 (0)","from the Discrete Environmental Monitoring Program (EMP) at DWR - year-round"
"Total zooplankton biomass","1995‒2020 (2)","1975‒2020 (0)","summed zooplankton biomass"
"Total zooplankton energy","1995‒2020 (2)","1975‒2020 (0)","summed zooplankton energy"
"Turbidity","1995‒2020 (0)","1980‒2020 (0)","negative secchi depth"
