Taxonomic Category,Taxname,ID
Cladoceran,Bosmina longirostris,14
Cladoceran,Daphnia,"5,6,7,8,9"
Cladoceran,Diaphanosoma,10
Calanoid Copepod,Acartia,"15,16,17,18,21,22,23,24,25,26,27"
Calanoid Copepod,Diaptomidae,"21,22,23,24,25,26"
Calanoid Copepod,Eurytemora affinis,27
Calanoid Copepod,Pseudodiaptomus,"15,16,17,18,21,22,23,24,25,26,27"
Calanoid Copepod,Pseudodiaptomus forbesi,"15,16,17,18,21,22,23,24,25,26,27"
Calanoid Copepod,Pseudodiaptomus marinus,"15,16,17,18,21,22,23,24,25,26,27"
Calanoid Copepod,Sinocalanus doerrii,"15,16,17,18,21,22,23,24,25,26,27"
Copepod Nauplii,Copepoda,"15,16,17,18,21,22,23,24,25,26,27,19,20,28,31,32,33"
Cyclopoid,Limnoithona,"20,33"
Cyclopoid,Limnoithona sinensis,"20,34"
Cyclopoid,Limnoithona tetraspina,"20,35"
Harpacticoid,Harpacticoida,28
Mysids,Hyperacanthomysis longirostris,"29,30"
Mysids,Neomysis mercedis,"29,30"
Calanoid Copepod,Acartiella sinensis,"15,16,17,18,21,22,23,24,25,26,27"
Calanoid Copepod,Tortanus,"15,16,17,18,21,22,23,24,25,26,27"
Cyclopoid,Acanthocyclops,33
Cyclopoid,Oithona,33
Cyclopoid,Oithona davisae,33
Cyclopoid,Oithona similis,33
Rotifers,Asplanchna,"34,35,36"
Rotifers,Keratella,"34,35,36"
Rotifers,Polyarthra,"34,35,36"
Rotifers,Synchaeta,"34,35,36"
Rotifers,Trichocerca,"34,35,36"
Amphipods,Americorophium spinicorne,"1,2"
Amphipods,Americorophium stimpsoni,"1,2"
Amphipods,Ampelisca abdita,"1,2"
Amphipods,Corophium alienense,"1,2"
Amphipods,Gammarus daiberi,2
Amphipods,Hyalella,"1,2"
Cirripedia,Cirripedia,"15,16,17,18,19,20,21,22,23,24,25,26,27,28"
